obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,2,416,284,204,190
2,471,460,426,334,220
3,2,516,360,274,246
4,4,396,412,390,192
5,18,556,408,484,296
6,2,384,388,432,176
7,10,540,346,310,312
8,2,454,466,184,214
9,2,390,372,276,194
10,2,602,550,306,280
11,2,410,340,304,300
12,525,496,344,262,186
13,2,402,302,310,140
14,503,344,302,260,188
15,2,400,408,256,304
16,2,484,288,402,230
17,455,426,314,190,282
18,8,524,362,302,178
19,495,584,288,372,256
20,411,442,334,280,224
21,2,520,386,256,166
22,477,468,428,194,186
23,543,420,370,260,218
24,6,378,420,338,260
25,4,486,418,318,204
26,4,512,258,258,190
27,503,384,410,294,496
28,389,462,366,188,154
29,445,460,398,272,190
30,2,392,228,274,212
31,2,366,234,266,146
32,6,540,278,170,162
33,8,472,608,280,230
34,383,478,272,374,308
35,445,438,314,334,230
36,8,358,362,272,168
37,4,416,486,228,190
38,369,440,400,292,216
39,2,366,484,268,246
40,363,482,374,382,168
41,2,348,548,230,174
42,513,396,252,278,132
43,6,496,366,368,216
44,503,304,396,328,248
45,2,352,434,338,190
46,2,366,388,268,262
47,379,538,520,250,172
48,2,400,444,336,208
49,8,526,246,252,132
50,501,422,354,426,264
51,405,418,364,264,226
52,2,462,354,216,202
53,2,558,466,216,166
54,453,548,400,220,192
55,2,370,438,336,144
56,513,428,512,340,146
57,523,420,398,280,234
58,4,360,262,280,146
59,2,434,334,266,258
60,2,422,372,272,170
61,6,406,414,296,174
62,8,472,304,212,184
63,2,502,384,292,174
64,435,380,276,272,280
65,459,348,370,366,212
66,465,406,288,206,146
67,545,824,514,184,224
68,523,488,278,232,194
69,2,382,314,210,218
70,545,342,354,352,298
71,4,452,318,298,200
72,4,570,302,188,168
73,441,366,380,302,208
74,333,352,420,214,180
75,487,492,276,392,180
76,2,662,290,254,256
77,2,474,468,352,256
78,393,484,312,222,172
79,2,560,264,322,194
80,2,548,330,224,308
81,4,450,414,326,356
82,511,380,336,300,172
83,493,462,304,292,120
84,8,334,410,288,192
85,369,464,302,344,202
86,10,550,332,256,244
87,4,614,290,214,282
88,391,372,346,434,264
89,6,336,426,374,366
90,2,504,460,316,176
91,2,388,320,204,160
92,2,424,432,282,216
93,2,506,376,246,128
94,2,482,282,270,198
95,2,374,288,212,238
96,475,504,394,304,150
97,459,310,410,278,252
98,6,414,330,416,182
99,2,406,380,292,92
100,2,394,332,310,216
101,471,378,486,252,190
102,8,498,310,314,148
103,14,502,370,252,354
104,429,420,238,234,186
105,469,412,300,252,148
106,2,504,422,288,170
107,2,482,292,218,140
108,2,578,336,324,270
109,4,396,376,308,252
110,337,462,424,256,206
111,397,424,358,230,214
112,387,374,302,252,168
113,6,346,354,282,258
114,435,392,456,306,164
115,605,364,410,224,178
116,2,434,272,312,294
117,2,364,398,228,188
118,333,476,316,188,126
119,2,488,404,210,162
120,2,404,382,274,174
121,2,344,256,414,194
122,2,436,366,266,212
123,4,306,334,304,240
124,505,476,276,244,300
125,423,572,576,356,218
126,20,444,314,354,164
127,2,464,382,434,202
128,2,454,310,178,236
129,2,438,404,364,186
130,2,354,254,316,222
131,405,412,448,416,254
132,491,492,408,174,190
133,543,452,426,314,232
134,561,498,430,224,272
135,2,522,352,370,282
136,475,466,646,252,248
137,4,552,316,356,204
138,4,21,470,342,240
139,2,464,446,394,208
140,403,498,288,306,152
141,2,530,530,454,192
142,373,384,360,278,304
143,2,376,268,314,158
144,2,470,260,418,192
145,561,520,462,258,290
146,2,460,368,242,194
147,683,490,336,316,170
148,573,486,388,212,204
149,12,418,376,274,214
150,389,422,406,230,230
151,8,500,318,160,192
152,8,422,466,346,210
153,461,490,302,240,208
154,2,556,370,238,182
155,2,496,522,328,122
156,2,548,298,274,212
157,369,408,288,228,284
158,631,440,368,378,226
159,435,414,314,170,264
160,2,498,362,240,208
161,4,434,432,374,186
162,4,448,334,328,286
163,2,396,430,380,186
164,423,332,432,326,168
165,483,370,456,314,296
166,455,534,456,178,166
167,843,500,386,222,158
