obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,4,574,372,278,484
2,6,728,490,366,252
3,40,610,318,344,450
4,539,574,430,266,360
5,2,578,486,346,302
6,2,534,458,436,452
7,8,708,440,304,196
8,14,632,294,358,270
9,515,526,366,314,302
10,4,552,722,328,290
11,2,750,504,352,336
12,6,724,456,604,294
13,24,484,582,216,450
14,2,752,464,376,290
15,617,396,350,416,308
16,20,694,492,322,170
17,687,532,500,458,254
18,2,668,522,366,418
19,2,622,536,640,262
20,2,794,522,452,214
21,2,562,512,278,176
22,665,760,374,332,262
23,2,442,336,434,280
24,939,488,646,308,330
25,507,374,492,240,344
26,2,496,414,350,214
27,519,448,330,332,316
28,553,430,564,464,296
29,763,640,582,282,318
30,2,584,570,356,204
31,511,536,384,346,258
32,2,452,352,346,344
33,2,906,518,434,458
34,2,444,428,374,346
35,2,638,444,400,128
36,2,460,416,368,326
37,2,350,736,210,396
38,2,526,448,316,172
39,4,522,332,322,234
40,2,962,330,514,378
41,721,646,314,466,236
42,669,462,438,396,450
43,639,744,528,356,300
44,2,398,438,390,234
45,2,516,584,436,350
46,2,708,778,382,360
47,2,466,496,346,174
48,6,794,482,446,242
49,657,754,442,382,314
50,753,694,452,338,364
51,8,350,402,458,236
52,467,584,518,376,336
53,4,558,340,470,496
54,699,572,452,336,260
55,645,846,478,458,402
56,4,432,560,378,332
57,597,434,570,356,188
58,469,532,524,386,308
59,627,512,380,310,204
60,4,53,372,398,390
61,535,422,538,430,594
62,369,464,426,352,310
63,2,638,520,282,210
64,2,798,404,214,226
65,4,458,452,482,182
66,4,510,526,374,170
67,6,552,466,302,298
68,467,538,452,368,148
69,565,392,436,274,220
70,10,672,556,322,314
71,2,528,442,630,170
72,469,592,788,540,506
73,2,408,434,336,284
74,8,538,648,296,274
75,2,600,486,280,186
76,2,620,422,312,500
77,2,602,364,402,404
78,2,466,470,304,234
79,685,754,344,386,252
80,26,584,538,556,468
81,4,798,528,312,198
82,2,706,562,488,420
83,14,562,588,396,602
84,20,590,406,370,188
85,2,500,340,292,226
86,6,556,446,308,140
87,2,648,504,346,128
88,10,770,564,458,516
89,2,482,262,328,260
90,643,49,406,418,470
91,679,628,458,244,176
92,2,430,402,406,238
93,433,644,524,356,170
94,2,610,640,294,252
95,447,584,638,354,226
96,2,524,398,288,278
97,2,580,346,370,270
98,483,704,614,276,262
99,2,584,456,526,208
100,567,634,456,314,364
101,8,492,448,254,168
102,2,392,722,354,324
103,613,522,472,364,276
104,4,406,268,346,338
105,12,428,534,304,380
106,557,708,438,392,366
107,2,534,726,506,346
108,477,544,468,212,178
109,441,548,740,330,482
110,10,722,516,230,296
111,6,536,446,316,228
112,483,674,358,666,180
113,2,432,398,420,320
114,579,550,590,386,334
115,855,522,400,636,216
116,2,706,506,262,320
117,509,544,440,448,160
118,2,358,416,278,230
119,805,708,498,330,226
120,703,450,390,326,240
121,2,470,614,426,244
122,2,544,512,364,310
123,8,714,390,196,208
124,831,780,416,308,180
125,455,576,544,256,182
126,2,558,586,290,290
127,2,474,616,404,186
128,2,672,478,396,294
129,655,480,472,424,196
130,2,542,426,466,428
131,4,456,458,502,178
132,2,536,524,386,310
133,589,440,714,406,304
134,777,668,492,262,172
135,2,520,768,466,170
136,4,582,530,362,208
137,697,462,558,294,198
138,4,366,362,396,290
139,655,514,258,462,340
140,457,416,476,240,248
141,2,800,632,376,272
142,945,660,426,406,392
143,587,488,492,410,272
144,485,518,636,332,206
145,2,564,480,298,260
146,6,430,536,280,244
147,2,644,314,284,276
148,4,428,432,368,328
149,367,634,428,356,332
150,2,500,452,672,306
151,2,484,448,348,366
152,827,566,564,226,190
153,10,738,446,464,160
154,4,536,506,478,282
155,487,888,510,334,214
156,849,528,432,294,244
157,2,410,558,248,164
158,10,656,454,380,234
159,2,556,450,308,244
160,2,420,444,486,254
161,511,474,702,366,166
162,6,618,454,448,246
163,2,644,490,324,236
164,555,588,412,430,178
165,2,570,442,214,300
166,513,702,560,306,208
167,2,620,548,430,284
168,6,546,414,294,426
