obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,18,769,477,327,299
2,2,769,433,339,271
3,2,649,431,429,311
4,4,839,509,375,233
5,2,431,667,383,199
6,2,701,457,535,343
7,2,539,685,255,389
8,2,519,407,369,127
9,740,361,587,605,239
10,852,379,547,155,207
11,2,1039,533,317,97
12,2,547,521,341,127
13,2,533,453,333,271
14,2,729,547,295,205
15,2,567,277,781,301
16,738,221,275,361,353
17,2,473,853,519,509
18,4,623,311,187,113
19,28,799,429,149,431
20,452,415,603,157,293
21,4,579,319,315,149
22,2,1007,497,349,143
23,524,727,617,831,143
24,2,491,315,463,163
25,2,929,575,261,157
26,2,733,455,507,153
27,2,611,719,517,169
28,690,557,815,385,89
29,2,839,661,363,343
30,14,933,407,347,275
31,628,643,501,375,69
32,18,51,743,307,281
33,34,535,589,357,585
34,6,781,455,309,187
35,64,949,271,331,183
36,2,533,361,365,201
37,4,803,367,459,145
38,4,629,299,177,153
39,2,697,983,207,299
40,2,461,411,325,127
41,88,891,635,497,161
42,540,551,597,201,197
43,2,691,731,577,63
44,4,65,575,221,189
45,2,785,477,505,199
46,2,475,361,163,327
47,2,485,509,317,155
48,632,463,439,507,145
49,8,589,631,441,203
50,2,745,601,255,149
51,30,93,211,601,233
52,2,425,557,371,179
53,2,511,543,155,255
54,14,525,279,443,133
55,2,525,1089,675,179
56,2,741,573,619,253
57,770,873,585,383,531
58,4,791,479,493,227
59,2,711,509,347,217
60,1046,533,753,355,447
61,2,529,941,307,173
62,2,567,573,293,479
63,2,817,439,271,211
64,2,703,637,619,179
65,10,645,313,443,293
66,2,757,575,519,101
67,2,553,537,467,147
68,2,517,763,373,295
69,2,443,397,391,341
70,2,845,397,537,361
71,370,51,523,479,329
72,14,553,417,461,367
73,2,813,399,345,97
74,2,717,351,199,159
75,774,847,637,301,165
76,2,795,569,305,169
77,460,493,297,567,111
78,4,601,417,673,79
79,1224,765,569,397,189
80,4,359,727,195,175
81,2,19,359,307,231
82,730,517,639,249,189
83,6,33,329,183,431
84,2,711,855,773,193
85,2,559,509,313,363
86,522,1169,577,399,181
87,2,595,565,235,153
88,2,793,461,301,309
89,2,953,405,399,275
90,18,443,563,411,321
91,2,441,569,313,323
92,730,905,301,211,179
93,2,1021,509,589,227
94,2,447,585,241,101
95,2,519,633,331,199
96,14,751,451,757,173
97,2,487,411,233,205
98,2,433,839,353,203
99,2,509,591,419,487
100,2,773,407,629,119
101,2,317,601,391,209
102,2,857,697,335,161
103,442,683,717,305,149
104,2,433,563,367,89
105,2,561,479,393,229
106,64,589,391,351,215
107,26,83,361,367,427
108,4,397,487,337,153
109,2,1059,419,247,205
110,2,939,511,215,197
111,882,619,661,313,409
