obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,2,481,411,145,131
2,300,287,201,199,69
3,2,319,211,309,87
4,2,205,263,293,93
5,2,307,331,157,105
6,2,277,231,167,229
7,12,289,229,193,109
8,306,319,245,119,95
9,406,393,233,145,135
10,4,341,353,143,83
11,12,321,305,203,113
12,14,267,227,141,147
13,2,331,289,187,231
14,2,315,225,141,103
15,362,333,285,263,127
16,2,551,263,157,133
17,308,397,229,181,91
18,250,365,331,481,115
19,2,417,191,221,141
20,426,269,433,209,129
21,354,233,235,235,133
22,2,337,369,209,137
23,454,473,213,143,131
24,286,263,203,151,79
25,282,441,325,135,47
26,352,349,247,185,87
27,466,345,329,143,97
28,2,213,245,195,113
29,438,235,223,151,101
30,2,229,247,167,97
31,376,241,333,171,107
32,6,367,361,157,91
33,360,415,205,195,133
34,422,413,337,177,159
35,498,389,331,275,135
36,2,309,263,175,129
37,392,299,319,161,87
38,2,345,219,155,91
39,46,65,269,253,133
40,6,219,197,233,85
41,6,299,253,207,141
42,2,269,185,169,77
43,24,265,197,177,61
44,2,413,321,153,147
45,270,393,159,249,103
46,4,281,211,209,105
47,330,357,231,131,93
48,2,489,317,139,47
49,2,339,301,121,205
50,374,251,327,159,179
51,292,321,323,249,87
52,460,321,343,199,69
53,2,285,275,175,91
54,4,385,199,131,71
55,344,321,229,217,85
56,2,331,493,129,83
57,304,189,233,211,85
58,2,351,403,189,151
59,4,395,291,345,99
60,2,291,265,133,103
61,4,325,309,203,111
62,6,373,317,185,75
63,510,351,191,229,125
64,284,501,253,115,123
65,2,369,343,151,101
66,350,307,223,175,61
67,4,315,477,161,65
68,288,333,347,163,93
69,352,219,213,135,103
70,2,353,223,167,171
71,68,385,207,111,157
72,356,291,381,193,71
73,6,363,255,161,103
74,14,325,229,187,175
75,18,399,281,159,99
76,2,245,381,169,81
77,540,559,305,185,93
78,4,355,355,153,109
79,18,447,283,223,155
80,402,255,355,133,97
81,540,535,257,275,149
82,4,447,271,149,187
83,348,299,253,229,77
84,2,381,317,181,117
85,2,241,343,155,99
86,410,341,245,195,117
87,2,347,223,219,61
88,4,437,269,217,95
89,2,337,275,201,119
90,2,403,265,229,93
91,2,367,265,189,69
92,2,429,399,197,67
93,4,275,281,157,179
94,2,265,291,123,89
95,392,339,377,249,83
96,358,325,257,187,101
97,2,281,243,191,107
98,346,319,249,157,173
99,2,349,221,163,115
100,4,329,285,147,189
101,4,391,291,167,181
102,2,451,303,129,89
103,396,365,249,229,117
104,4,335,257,137,121
105,2,279,191,199,137
106,4,283,375,137,109
107,6,275,157,173,51
108,542,405,279,203,79
109,364,473,247,243,133
110,2,327,217,189,109
111,446,349,319,155,63
112,336,337,227,121,61
113,494,409,227,227,137
114,4,245,361,199,191
115,346,313,267,175,147
116,2,367,247,197,93
117,8,383,267,123,139
118,6,275,197,199,155
119,330,337,361,191,139
120,258,301,203,157,111
121,2,331,209,173,139
122,430,261,275,119,75
123,346,327,365,281,65
124,506,359,291,155,105
125,2,323,209,145,93
126,4,381,323,177,83
127,2,331,211,235,85
128,316,339,171,155,109
129,4,245,235,229,81
130,4,347,289,183,189
131,354,307,263,175,91
132,2,321,233,157,153
133,2,401,293,161,125
134,2,407,319,255,165
135,400,347,251,281,85
136,2,439,295,235,157
137,2,255,215,267,75
138,2,355,243,205,107
139,4,371,253,117,151
140,2,311,453,179,165
141,10,267,243,181,89
142,464,285,349,227,93
143,2,291,265,209,145
144,2,385,369,231,199
145,318,295,207,141,103
146,322,349,145,145,71
147,424,409,337,201,149
148,2,415,201,135,155
149,2,281,255,253,111
150,2,439,213,169,131
151,286,339,243,161,95
152,2,327,223,223,113
