obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,18,23,2594,2746,292
2,2,13,551,959,805
3,52,147,1901,3642,2530
4,22,165,5634,7051,2769
5,26,3722,4685,2509,1676
6,26,649,6282,4559,3298
7,4,95,1473,1175,620
8,6,7550,509,915,3043
9,2,121,747,1192,5611
10,6,1085,9552,489,2254
11,2,59,2168,319,1308
12,844,947,3089,6090,3981
13,2,671,4115,11551,1174
14,2,31,4227,533,5311
15,2,39,181,6232,344
16,2,77,2854,1041,3108
17,432,55,395,6788,3701
18,7531,653,2397,2586,8703
19,2,3742,8468,2523,2498
20,2,2454,1212,10372,874
21,2,5232,97,7278,492
22,4,113,1087,2756,6235
23,1773,247,2670,2628,5231
24,2,29,479,1550,2273
25,2,387,4518,805,2420
26,46,37,1661,1343,1535
27,2,193,2686,1499,1514
28,2,839,3034,9278,5100
29,2,1063,6098,1655,12851
30,16,37,3697,1345,6324
31,2,31,1149,2001,4226
32,2,31,1793,1147,926
33,2,85,5610,7432,1688
34,4063,237,1896,6300,1564
35,12,91,421,4156,2290
36,6,27,1727,3296,3166
37,2,501,1582,7930,855
38,4,4972,6364,2788,4834
39,98,197,2738,5718,1262
40,2,1033,1231,818,4716
41,2,25,2057,2351,210
42,36,2797,5232,4059,3787
43,6,1010,929,9922,1660
44,10,341,261,5319,2025
45,8,361,1067,3980,6210
46,434,169,3682,3028,8122
47,2,121,1950,881,1330
48,2,7880,2627,4994,1712
49,224,4533,333,3649,2501
50,266,89,461,3038,2094
51,6,113,211,3170,1340
52,30,165,2002,1130,6798
53,2,2610,455,1023,6989
54,2,37,4093,9010,3017
55,6,253,2889,2083,2164
56,2,3122,4876,4345,3506
57,18,21,1617,8860,1566
58,6,89,527,3510,2170
59,4,473,4419,861,4302
60,6,857,6802,9908,2652
61,2,375,1743,1396,2456
62,2,1590,3986,836,2528
63,2,123,1450,1185,6260
64,2,181,371,4298,1411
65,110,2063,1392,997,1454
66,4,2385,325,2307,5206
67,2,135,2745,11077,2043
68,6,49,987,1374,3592
69,2,155,563,2825,5282
70,2,687,4054,5122,6065
71,2,641,2808,1898,2771
72,130,43,3958,7018,2024
73,2,157,3224,2417,5735
74,2,4992,2875,8396,1534
75,4,1955,989,7312,646
76,2,1844,3833,18243,4432
77,2,1491,929,395,3674
78,2,1851,2865,1746,2866
79,2,95,607,1022,2340
80,2,237,947,1710,930
81,6,319,1378,1742,765
82,4,77,3184,1291,2984
83,2,121,695,2910,3564
84,2,1101,2784,8700,10627
85,2,133,16018,6141,1985
86,9321,283,1083,2613,6874
87,6,2711,1937,1463,7375
88,92,2577,441,5352,1848
89,2,509,3712,4462,1481
90,2,2592,4332,4682,4638
91,14,47,649,871,906
92,2,163,1859,4578,3456
93,2,25,743,14262,3708
94,2,347,1203,583,2072
95,4,841,3731,15004,839
96,4279,341,967,3994,2304
97,108,81,3095,3208,922
98,100,6869,1027,3082,1498
99,8,83,2429,3362,16112
100,4,233,8386,4382,1084
101,194,2606,1803,12054,5648
102,2,353,3104,14712,777
103,2,227,3907,2311,7567
104,16,113,115,7034,478
105,6,109,179,8138,1398
106,2,269,1985,1524,12907
107,2,29,13550,8068,912
108,34,929,1103,495,7237
109,3501,27,1815,4779,2438
110,2,8134,1231,6736,3352
111,18,35,921,2517,2948
112,18,1395,7358,3004,2582
113,2,175,7752,1668,1636
114,2,79,733,1773,7677
115,2,69,821,1406,4687
116,8,543,2328,4460,6170
117,20,105,121,4168,1550
118,14,17,1121,3116,880
119,2,245,1899,2683,4062
120,2,807,6016,13024,2338
121,12,237,349,1608,5443
122,4,513,2894,1240,4047
123,2,75,1595,2882,2473
124,2,585,11720,9654,5840
125,2,59,149,2446,6146
126,2,843,1203,5312,1361
127,2,49,2788,3320,4246
128,4,153,2833,2709,2410
129,2,703,187,1931,1376
130,22,165,5756,8165,7164
131,2,115,4794,9311,1094
132,8,6365,2500,3716,5688
133,2,1261,1312,3505,1514
134,2,2178,712,5508,4945
135,6,2077,1482,451,3656
136,4,439,4216,1959,846
137,2,127,2929,5036,11358
138,16,2670,207,2391,1674
139,12,605,2583,1303,2701
140,4,4728,441,3915,740
141,30,103,5492,1665,1972
142,46,57,1309,1457,2195
143,2,183,11890,3839,1058
144,2,573,1221,1050,7312
145,14,7420,335,2355,7675
146,2,235,3251,861,1754
147,2,101,425,1338,3566
148,44,3159,229,1041,11474
149,2,5432,599,3103,2508
150,4,75,1908,1168,1744
151,138,75,1589,596,472
152,4,2738,155,2723,2956
153,52,39,361,3646,1140
154,2,5832,2119,2338,11043
155,2,705,1466,6861,872
156,16,47,1418,5070,1580
157,8,99,8473,2234,1880
158,4,4653,203,4073,1754
159,2,2850,407,5688,5600
160,4,1154,151,665,6515
161,2,195,1570,1658,1218
162,946,6586,357,3601,7542
163,4,2676,937,1563,1404
164,2,29,543,6992,4032
165,2,97,2038,485,2094
166,14,79,8603,3355,1016
167,2,99,4260,1591,1061
168,2,49,457,3628,1235
169,330,2295,2681,5183,3535
170,2,2029,1787,4283,1771
171,2,5098,3048,2276,1851
172,2,77,2134,968,1022
173,74,3678,347,6581,6684
174,6,121,12847,10188,990
175,8,3710,13092,2869,5738
176,4,81,3831,1756,660
177,4,169,1814,673,1525
178,4,199,6931,4732,9630
179,2,211,3639,3764,3619
180,132,785,2936,2096,1489
181,26,59,9446,447,3952
182,4,199,1029,848,2928
183,24,197,1582,1845,3000
184,2,1861,8671,3315,3620
185,2,71,5346,3208,2702
186,4,103,2703,3947,3198
187,6,791,7662,2974,2630
188,2,367,2568,2581,718
189,2,1457,2567,3258,3150
190,52,1107,5372,618,7836
191,10,209,8730,1926,3622
192,2,57,5206,3790,11498
193,5521,21,855,5568,480
194,2,203,2725,3838,5878
195,2,4085,2085,1390,1796
196,4,637,5999,551,2724
197,2,5107,4904,2144,1928
198,2,45,1477,4328,1336
199,2,33,919,3879,3422
200,10,49,15606,3690,1324
201,2,127,603,2466,11534
202,2,1648,5196,4734,7030
203,14,711,571,1411,1312
204,4,79,351,2041,1290
205,2,5516,513,6962,1842
206,2,287,6421,2363,1976
207,2,1660,1256,1507,1220
208,34,757,4295,5838,476
209,2,65,583,2941,1508
210,2,351,3719,1470,8909
211,10,1289,3828,4181,4109
212,6,3636,4531,3535,4652
213,22,3122,10216,4887,4456
214,2,61,3788,2056,2745
215,192,95,1153,2914,8112
216,2,107,1065,4110,1484
217,2,307,1155,4418,7380
218,6,537,1161,1775,3492
219,2,937,289,3718,2460
220,2,83,783,1763,6597
221,30,1483,4707,1280,1042
222,8,1095,1345,1469,1321
223,10,465,475,577,1558
224,2,2294,553,3341,2318
225,2,519,11574,2141,1261
226,2,4125,637,1176,4697
227,50,109,4728,4641,520
228,2,245,1315,7714,1440
229,2,149,1975,661,8651
230,2,113,4041,6881,262
231,4,127,187,1153,1072
232,6,479,2064,1275,2213
233,6,13,7003,1608,2396
234,4,337,143,4507,3244
235,104,4852,15868,837,5501
236,24,449,8574,3646,3402
237,2,613,1025,1600,1984
238,2,215,854,2370,1414
239,2,207,9414,5004,1823
240,2,225,2053,4001,879
241,18,151,3218,563,3497
242,2,1559,1253,1770,2054
243,2,389,333,4992,1425
244,2,149,2060,9496,3133
245,2,641,10034,1947,3614
246,4,2637,1553,2194,1377
