obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,2,1836,998,1424,1366
2,86,131,355,2628,1232
3,2069,143,1504,1728,1610
4,24,2400,1852,1314,1298
5,2,49,1038,1538,578
6,32,157,815,732,470
7,2,447,1098,1170,2878
8,2,2424,569,1610,862
9,2,103,1620,1354,1512
10,4,19,1196,1404,482
11,6,1942,2136,2792,786
12,2,1184,1982,732,1444
13,22,39,1458,1334,258
14,14,1350,1422,1672,444
15,1703,2666,950,4188,1272
16,44,87,1812,1582,2062
17,2,2120,1632,1702,1434
18,2,191,1044,2036,482
19,6,133,1488,2510,346
20,24,1206,2728,1704,3038
21,2,39,1506,2164,902
22,4,61,4910,1794,1070
23,2,5040,2016,1490,606
24,50,259,2908,1890,970
25,6,1500,367,2562,1056
26,6,2252,2020,1072,460
27,2,1594,1574,2860,516
28,2,1516,1174,1900,740
29,2,461,1820,928,926
30,2,2334,361,1826,1080
31,10,3594,1158,706,710
32,2,772,2866,2356,3680
33,2,1866,1252,3366,648
34,2,3028,1882,2470,524
35,2,21,700,864,196
36,2,123,1282,458,1038
37,4,2006,1238,1434,726
38,2,2234,1896,819,1008
39,2,1388,2500,1208,2034
40,16,133,1142,904,2000
41,2,391,1006,1202,404
42,2,1322,2224,976,672
43,2103,151,4252,2396,1536
44,2,137,1092,1000,2508
45,2,43,1424,2094,692
46,4,1602,2480,1706,934
47,1507,69,3240,2440,484
48,2,99,1474,1382,976
49,2,2444,2042,524,544
50,4,17,3510,474,1040
51,36,1784,2206,1156,1642
52,2,2584,1794,2228,468
53,2151,1422,1186,1176,706
54,6,1270,2716,1534,552
55,26,1360,1618,708,1182
56,2,1772,910,2004,1142
57,88,137,1528,1126,414
58,2,1632,3794,1146,1286
59,2,111,1176,1086,1780
60,2,1378,892,1216,620
61,2379,285,1456,1120,850
62,46,63,2630,2550,680
63,8,2134,817,1000,1334
64,2,55,2258,1568,2568
65,4,1094,2188,1864,652
66,26,289,2758,900,862
67,148,1652,3068,1126,1910
68,4,2454,5346,1382,2772
69,108,1126,1432,1052,516
70,12,63,2328,1258,1062
71,226,129,3156,984,1270
72,2,2314,1545,1236,712
73,6,401,2150,2254,1032
74,2,2114,1448,728,1608
75,2,95,2448,932,1262
76,4,1878,866,878,578
77,2,1858,1468,790,476
78,2,2390,2036,1300,1542
79,20,65,2074,714,1566
80,2,63,1592,2806,846
