obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,2,935,545,1055,1275
2,20,705,1129,537,1065
3,4,199,1703,643,585
4,2,51,721,401,465
5,6,61,3009,1031,1223
6,2,1151,579,1339,179
7,948,1767,1447,777,1233
8,2,883,1353,979,535
9,2,1747,713,685,527
10,2,1257,1419,253,263
11,40,105,679,419,481
12,26,2473,963,1001,941
13,30,1447,1227,423,327
14,6,2259,1269,1453,545
15,1236,2003,809,1291,333
16,2,95,1093,599,1735
17,20,1393,1037,1115,449
18,16,1367,1985,843,227
19,88,73,1567,851,673
20,1772,149,677,1773,653
21,2,301,1485,573,419
22,4,2317,1157,2041,309
23,2,55,1405,283,325
24,6,2107,1489,795,1025
25,42,1887,789,1055,649
26,2,2197,1609,1505,767
27,2,19,747,779,305
28,30,25,1809,443,509
29,16,15,1299,679,259
30,4,1985,801,1993,871
31,2,2723,1005,1079,327
32,18,1013,1327,1087,1413
33,4,1677,1395,325,771
34,4,1035,1633,335,199
35,2,1019,1199,1763,135
36,2,231,1969,579,955
37,2,349,1625,743,285
38,6,67,1093,875,735
39,2,1541,1153,687,1517
40,16,531,2337,1411,199
41,4,31,2303,1235,389
42,2,2117,1599,397,1219
43,4,505,2013,265,499
44,4,27,2749,495,723
45,2,1429,2011,385,649
46,2,789,1087,1665,135
47,6,1337,991,729,295
48,1382,187,557,839,943
49,4,1489,1825,1815,193
50,1546,1051,1471,1055,353
51,50,1529,2643,1249,775
52,2,31,767,1387,291
53,2,51,1479,1329,877
54,2,413,1199,383,1605
55,2,531,811,243,265
56,4,1625,1715,1137,2783
57,2,615,1839,1631,651
58,1206,277,481,347,161
59,2,2045,1849,611,93
60,2,21,1743,1011,1539
61,10,863,1287,1011,1819
62,2,1247,985,1675,241
63,2,105,2529,213,487
64,2,2753,1335,2009,749
65,2,2935,3345,631,515
66,2,2149,861,711,95
67,1202,1109,523,325,385
68,1982,45,1387,937,3009
69,2,1031,1471,875,865
70,66,29,1847,3729,957
71,2,2225,1467,411,291
72,2,115,1417,1699,549
73,2,2735,829,1183,269
74,2,455,1193,2429,947
75,2,4485,1905,1509,573
76,126,363,1049,491,557
77,2,1231,1269,571,463
78,2,549,1129,1851,497
79,6,181,749,2605,161
80,1794,975,1839,1091,289
81,1098,1463,889,315,95
82,14,1019,2107,1831,783
83,2,143,4291,777,167
84,2,1483,765,1127,293
85,18,1405,985,279,307
86,2,909,487,783,1035
87,42,1721,759,1811,305
88,4,147,1677,559,687
89,2,29,939,1093,899
90,34,1057,303,1635,237
91,2,1581,1637,1781,189
92,10,2189,1201,361,185
93,4,1521,879,897,461
94,2,3075,1103,2517,1671
95,44,1181,1181,481,519
96,2,697,807,1689,267
97,128,233,393,373,563
98,2,517,1621,929,253
99,2,373,667,943,79
100,2,2099,1783,2135,1071
101,6,43,2141,695,307
102,2,2221,205,1087,337
103,4,1023,1879,365,151
104,1338,257,2593,445,245
105,6,737,2019,1417,561
106,2,1551,2095,929,631
107,4,3401,867,407,1919
108,2,1395,1097,1559,401
109,2,1225,1869,873,1925
110,1488,1159,997,997,413
111,2,385,1227,389,419
112,4,201,1205,735,175
113,38,709,1657,565,937
114,8,2221,1021,1853,269
115,2092,1409,1185,339,123
116,644,1773,2195,1619,1307
117,8,29,3093,435,265
118,6,117,565,741,511
119,2056,307,1169,1481,445
120,1168,279,1283,999,543
121,10,1643,711,505,231
122,2,1059,1135,205,297
123,1796,153,3325,965,559
124,2,927,1625,2427,749
125,2,29,1549,815,187
126,6,201,1461,675,441
127,6,1325,1443,2383,455
128,2,167,1067,923,943
129,2,1533,893,433,543
130,2,49,2139,695,377
131,2,67,1345,1949,1425
132,62,1415,625,2317,513
133,10,175,2325,1815,451
134,1716,127,1191,1095,535
135,2,1753,1725,989,865
136,2,29,2925,979,279
137,8,2277,1301,1675,251
138,2,1355,3119,2159,993
139,8,41,1169,903,607
140,2002,43,967,2467,109
141,2,1165,1787,423,389
142,2,29,867,995,801
143,2,135,1953,727,461
144,4,233,1611,1017,1047
145,756,3641,441,1397,1587
146,4,119,1749,449,1129
147,46,2123,1243,1561,4337
148,2,2143,1033,605,257
149,18,65,1777,477,835
150,16,803,1641,797,341
151,2,99,1607,1585,197
152,2,239,1843,1351,303
153,20,41,143,273,211
154,86,1115,1643,2011,357
155,2,83,1213,697,1863
156,4,1519,1099,1113,439
157,2,35,861,821,1439
158,10,1753,1401,2913,395
159,2,219,1255,1291,569
160,4,271,2095,341,711
161,2,1451,1807,807,705
162,96,415,1961,699,587
163,2,2525,309,1001,201
164,2,831,803,1057,231
165,10,1883,1417,775,217
166,2,1221,1225,411,1121
167,2,1019,643,2247,513
168,1642,1091,355,681,473
169,2,1127,1319,1109,1079
170,6,203,579,433,1163
171,2,1273,1155,1049,1253
172,1494,877,1975,989,489
173,6,113,1735,907,705
174,1518,1737,993,1247,491
175,2,751,1667,351,479
176,26,2223,1879,419,347
177,2,1617,1989,763,1211
178,74,59,1139,1113,315
179,2,1083,851,699,1199
180,12,49,535,833,331
181,2,2819,1523,345,585
182,2,823,1935,1375,551
183,4,1203,1099,797,191
184,10,3005,973,1191,921
185,1182,677,1001,401,197
186,50,67,623,233,919
187,16,33,369,1711,667
188,4,317,1445,695,615
189,2,805,517,1067,215
190,2,819,1325,1153,1355
191,6,37,1095,763,705
192,2,43,2877,397,497
193,8,1091,743,767,435
194,4,2045,1555,681,1685
195,4,2753,575,547,571
196,2,97,1657,681,809
197,2,1263,935,1571,415
198,2,2777,965,1779,1069
199,4,1003,1717,587,717
200,2,73,2599,515,259
201,62,1949,2075,4699,385
202,2,987,2039,677,879
203,2,1217,1737,751,217
204,42,4051,1111,543,127
205,120,287,857,619,127
206,982,1307,1637,899,1255
207,14,895,1851,2229,1839
208,888,47,1825,379,225
209,2560,2015,1033,1143,533
210,1716,1343,1989,423,463
211,6,77,599,789,937
212,4,323,2477,563,233
213,2,35,1003,449,343
214,2,1825,1059,1923,803
215,86,1855,601,1065,1297
216,12,15,1065,779,505
217,4,2951,1519,1635,817
218,14,81,683,1365,421
219,2,1187,729,539,1083
220,1412,1145,2139,1103,901
221,2,3379,735,261,177
222,2,91,1999,467,287
223,2,41,927,1223,971
224,2,1059,1563,711,371
225,1130,23,1023,465,363
226,2,39,1411,1629,1047
227,2,1549,1629,803,451
228,2,29,865,645,429
229,2,1701,1235,1015,231
230,2,17,2019,827,479
231,8,199,2251,1455,313
232,2,2901,569,543,541
233,6,57,681,615,177
234,2,27,361,1043,149
235,4,37,1057,1337,453
236,2,1831,615,633,1051
237,2,63,593,443,339
238,6,1525,1861,761,497
239,2,153,863,1083,359
240,2,755,1693,2231,235
241,22,169,453,403,213
242,2,33,1677,1667,483
243,8,59,2883,1023,531
244,4,1761,847,3229,479
245,2,1353,1031,433,445
246,62,2159,947,807,247
247,4,1003,1247,461,359
248,4,767,773,1325,867
249,2,113,2575,1001,1277
250,24,1247,1717,1161,379
251,80,3773,1933,477,217
252,1864,2041,2481,1089,269
253,2,2213,889,879,353
254,2062,187,625,575,1431
255,2,95,1229,349,671
256,14,801,1727,389,549
257,2,31,783,479,621
258,2,33,565,955,1949
259,4,1427,523,1527,253
260,2,1539,1275,2453,375
261,32,1137,2385,897,303
262,6,739,781,5081,535
263,10,1311,1383,575,545
264,12,833,1151,589,101
265,2,855,681,1771,155
266,2,3319,605,619,627
267,892,133,1459,633,1185
268,2,923,711,623,395
269,600,1071,819,871,219
270,2,23,525,825,149
271,4,749,293,1057,809
272,2,1423,2657,657,2103
273,2,491,921,925,841
274,2,819,2211,473,453
275,6,1009,111,353,333
276,2,599,499,697,315
277,4,149,1579,767,739
278,2,2297,2875,1137,165
279,2,2161,2007,1855,349
280,2,1757,771,1175,999
281,2,1265,1583,399,147
282,2,2681,1959,499,395
283,12,1451,931,691,141
284,2,439,1401,1521,823
285,12,1051,1881,1041,545
286,10,953,1137,1039,415
287,4,905,985,2479,1109
288,10,1771,935,2053,289
289,2,1951,1691,1143,499
290,8,985,1301,681,435
291,2,1707,1825,1383,797
292,184,4681,1215,1307,405
293,2,609,597,945,459
294,418,1997,1831,685,255
295,2,1741,1231,1293,729
296,1592,1893,659,1669,267
297,2,1103,2135,1549,565
298,10,2569,1963,745,1081
299,116,177,263,1411,253
300,2,831,1117,1547,1359
301,8,37,501,1039,143
302,16,93,2877,1167,389
303,2,1589,991,449,161
304,2,37,1499,317,165
305,6,1365,2727,1431,899
306,2,813,1233,1255,395
307,290,1195,1401,259,551
308,2,129,521,535,523
309,64,1097,945,319,521
310,2,1727,625,799,1189
311,2,1529,2233,261,167
312,4,1553,1497,505,203
313,2,1217,1117,465,567
314,2,59,443,515,121
315,4,969,2453,1137,1301
316,12,113,471,1091,1439
317,2,731,137,933,527
318,6,881,791,1729,315
319,2,1673,1635,1035,503
320,10,1489,1743,273,273
321,4,1919,943,415,1165
322,752,1167,1997,839,155
323,6,865,415,1349,671
324,2,187,649,1301,1227
325,2,1359,961,333,555
326,2,1433,2741,853,783
327,2,2527,833,1069,1477
328,18,2217,1319,777,351
329,2,105,687,1627,491
330,2,1037,2133,275,611
331,2,1387,1605,1185,299
332,14,37,1061,795,709
333,2,643,1085,2115,441
334,4,111,1475,355,475
335,18,61,2079,3025,451
336,2,841,2749,833,577
337,2,171,877,971,197
