obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,4,1202,422,94,124
2,2,699,854,222,10
3,2,113,666,216,28
4,6,1050,450,186,14
5,2,586,1556,446,512
6,1205,600,824,262,82
7,2,624,1348,940,494
8,2,1523,1420,448,64
9,2,1612,518,654,182
10,2,1048,610,584,8
11,8,149,1572,1456,88
12,2,948,1298,518,26
13,10,1596,1192,368,16
14,4,594,1790,620,18
15,16,1256,3536,312,10
16,18,1226,172,290,20
17,34,1138,354,2308,28
18,16,427,794,274,32
19,50,1956,388,784,118
20,2,45,492,410,574
21,811,157,652,286,20
22,2,822,966,406,16
23,2,27,1618,1836,20
24,14,315,600,150,12
25,6,71,1090,196,10
26,2,1032,732,894,20
27,2,1692,1260,796,16
28,4,1358,1044,224,64
29,2,856,696,588,104
30,649,1530,446,226,20
31,2,41,504,1280,12
32,6,720,1368,136,266
33,48,956,260,266,322
34,2,486,1822,736,8
35,359,2172,1498,796,18
36,4,738,208,352,22
37,8,125,578,270,18
38,1057,29,1388,1582,28
39,2,41,330,326,6
40,2,447,898,420,22
41,6,123,332,180,62
42,40,23,1242,42,8
43,8,633,766,1180,20
44,1231,568,1642,350,2296
45,2,39,510,616,50
46,2,43,914,562,10
47,2,274,1390,766,10
48,2,33,388,154,38
49,2,876,1536,184,12
50,4,15,798,102,12
51,479,361,1112,1290,88
52,2,942,596,362,30
53,40,1002,2310,1622,78
54,495,2414,442,186,8
55,8,241,282,394,606
56,2,1008,640,838,8
57,2,1218,440,138,18
58,2,43,1312,124,120
59,66,1194,766,238,20
60,2,187,760,528,12
61,2,904,356,168,136
62,4,53,1548,442,152
63,4,135,1092,712,34
64,2,79,768,716,48
65,4,1446,376,314,20
66,164,1044,948,542,24
67,4,827,198,920,14
68,2,968,334,106,10
69,2,1162,1086,354,26
70,2,590,600,308,34
71,4,606,548,160,914
72,2,153,864,250,222
73,2,562,950,812,58
74,2,1750,652,1698,18
75,2,1144,298,848,26
76,2,1124,657,344,142
77,2,125,1558,110,660
78,2,217,478,680,192
79,36,1192,922,326,104
80,1289,622,246,1314,26
81,2,552,209,500,36
82,46,1472,1014,1004,12
83,40,1156,746,542,752
84,2,145,95,160,72
85,4,61,73,188,102
86,6,421,500,254,86
87,4,956,540,194,64
88,6,1368,1012,138,120
89,8,1084,700,1278,166
90,2,649,774,974,78
91,983,323,716,564,270
92,1433,728,428,146,10
93,2,385,558,118,8
94,2,1524,820,320,26
95,2,37,1910,140,14
96,1239,365,2430,184,336
97,2,1118,990,292,24
98,2,870,636,1122,18
99,2,1360,1258,458,22
100,953,682,1578,84,26
101,146,486,405,840,12
102,6,265,726,328,14
103,2,197,616,540,146
104,74,412,312,364,128
105,2,1288,1338,338,20
106,2,85,522,150,6
107,172,1040,388,324,44
108,8,668,387,996,16
109,971,493,286,214,16
110,731,998,680,154,338
111,12,826,768,156,74
112,891,1052,1922,330,26
113,2,17,972,268,10
114,6,2358,802,512,110
115,8,1122,798,348,30
116,372,1054,454,304,66
117,2,35,321,414,82
118,2,920,328,604,16
119,2637,1146,824,168,12
120,2,564,882,1008,626
121,6,1186,1900,3310,1644
122,2,1820,410,476,8
123,2,678,748,386,8
124,60,2708,964,208,46
125,6,309,458,524,64
126,4,2014,624,1482,42
127,2,510,844,84,42
128,691,1852,796,530,100
129,16,207,426,348,58
130,2987,1916,388,142,40
131,1663,376,308,1024,8
132,6,71,622,558,186
133,2,924,664,1064,8
134,10,936,284,308,8
135,2,169,574,218,16
136,6,105,1544,94,10
137,4,1816,2544,94,12
138,2,1232,584,464,14
139,2,1926,656,348,14
140,86,449,1964,106,1098
141,2,1334,884,270,194
142,4,716,560,258,78
143,6,1642,238,698,36
144,1209,329,574,102,70
145,6,494,554,688,12
146,4,798,584,174,58
147,2,1110,356,502,20
148,651,41,964,92,14
149,18,470,570,136,14
150,2,1344,926,1522,24
151,2,65,2110,444,16
152,2,163,454,608,40
153,4,63,768,672,12
154,2,29,560,140,48
155,192,880,1296,156,50
156,1127,265,218,816,18
157,2,650,366,728,180
158,1205,157,1074,640,72
159,4,281,508,162,60
160,4,1276,320,190,522
161,4,698,1046,224,176
162,2,686,2636,1224,74
163,4,465,564,100,28
164,2,33,1020,502,28
165,8,1724,389,1420,18
166,2,55,530,270,28
167,1001,55,596,436,258
168,1361,297,544,402,34
169,8,61,836,330,18
170,2,97,800,74,18
171,2,634,584,1224,76
172,2,778,3134,166,12
173,2,879,2450,358,16
174,2,103,680,280,12
175,2,1336,648,314,58
176,2,546,676,1694,222
177,16,33,1166,1002,528
178,1133,818,596,238,18
179,142,550,998,242,98
180,2,1334,426,94,56
181,2,848,224,136,668
182,54,816,874,266,64
183,2,728,426,824,60
184,2,97,2014,336,92
185,28,1220,1744,326,6
186,12,1106,927,1410,224
187,4,978,1646,1608,58
188,12,502,442,512,68
189,8,754,530,290,42
190,629,568,1278,226,564
191,2,502,610,282,18
192,12,31,908,932,18
193,12,1250,674,210,338
194,2,768,242,548,578
195,2,1646,978,268,12
196,4,175,740,96,242
197,1659,11,376,1196,50
198,4,355,682,636,80
199,4,954,286,356,370
200,4,664,414,80,10
201,2,1049,268,462,158
202,2,71,470,134,16
203,2,21,1434,316,14
204,2,786,956,356,10
205,2,614,770,212,8
206,4,1866,560,208,78
207,10,111,710,312,20
208,6,69,302,1084,314
209,18,1148,1584,788,40
210,2,111,586,1448,282
211,2,31,386,232,8
212,2,728,388,220,64
213,156,1442,1014,370,16
214,50,153,1468,328,358
215,1325,191,778,1622,10
216,1369,576,542,240,16
217,52,297,624,190,20
218,8,1850,802,546,56
219,2,1360,1612,572,14
220,10,1104,646,396,20
221,2,718,1236,204,306
222,10,2086,170,602,114
223,4,542,710,498,20
224,2,1236,492,296,32
225,26,1323,934,958,24
226,2,508,1064,298,132
227,4,1578,450,2034,100
228,2,61,862,388,328
229,4,1024,1202,352,392
230,2,1404,850,1046,54
231,4,962,418,544,18
232,2,367,1118,254,12
233,2,686,2090,184,100
234,2,545,1868,104,20
235,2,824,476,1118,18
236,4,43,902,544,56
237,2,1672,822,632,10
238,2,1068,656,130,222
239,14,896,420,330,50
240,2,85,2372,118,510
241,2,107,1264,190,194
242,2,197,876,1180,20
243,2,1010,146,648,12
244,4,538,930,1320,18
245,2,1358,1496,282,12
246,2,1004,864,88,76
247,2,1658,1298,234,18
248,2,882,354,354,22
249,1811,1150,1158,366,26
250,2,526,1044,936,8
251,2,137,1652,592,20
252,2,71,374,994,24
253,2,532,242,566,20
254,2,93,1792,134,8
255,2,2552,440,696,158
256,4,787,364,144,90
257,32,15,460,340,8
258,2,35,251,716,48
259,62,1562,1176,706,436
260,2,1064,676,116,14
261,2,466,1330,312,10
262,2,39,474,522,18
263,2,371,1466,546,190
264,2,1304,770,578,26
265,2,642,1114,128,30
266,6,658,1356,314,40
267,2,908,1172,1010,6
268,2,55,730,236,12
269,2,213,356,162,32
270,88,1358,1928,656,26
271,2,71,370,310,150
272,2,2692,728,632,94
273,2,684,452,62,8
274,2,65,534,1402,124
275,2,612,1214,722,12
276,2,2910,678,278,16
277,4,1488,546,378,6
278,2,536,1144,312,54
279,2,251,522,484,130
280,4,1624,618,188,88
281,4,67,1770,252,52
282,10,1044,728,658,42
283,4,1166,1770,594,8
284,32,1000,4492,730,22
285,6,1352,716,224,64
286,2,790,306,78,14
287,2,476,828,2516,12
288,10,201,1876,458,12
289,2,1356,1160,614,130
290,48,67,1602,546,20
291,2,569,326,426,14
292,2,71,1310,500,42
293,2,27,396,158,74
294,2,65,414,406,48
295,2,1066,1110,216,94
296,4,69,308,270,680
297,36,484,1836,360,32
298,4,824,436,626,6
299,4,461,500,612,18
300,2,91,562,460,22
301,56,534,918,402,6
302,2,668,636,250,148
303,18,61,406,108,48
304,1293,85,358,560,6
305,2,35,932,196,2508
306,2,946,2628,240,8
307,2,945,1636,168,14
308,2,940,238,218,244
309,8,528,1128,892,34
310,6,13,604,510,28
311,2,675,570,144,46
312,34,67,296,228,54
313,4,1896,464,1136,96
314,2,1286,534,176,8
315,2,637,588,314,10
316,6,2058,742,376,36
317,2,653,264,610,110
318,4,964,672,448,18
319,4,33,1482,304,184
320,210,163,1218,780,96
321,2,123,236,764,178
322,6,608,992,154,20
323,2,783,568,420,36
324,2,978,460,248,18
325,46,383,442,1344,14
326,2,942,384,154,38
327,54,820,818,672,86
328,14,247,456,786,20
329,14,640,456,470,18
330,4,199,624,164,354
331,2,806,2110,366,38
332,2,674,820,384,80
333,6,185,634,174,104
334,10,1726,773,226,42
335,2,19,888,174,58
336,2,187,904,400,10
337,2,49,824,126,84
338,18,2106,388,256,10
339,20,948,1346,936,24
340,14,1470,616,1032,26
341,6,65,214,144,12
342,34,470,666,138,48
343,2,1594,444,136,18
344,26,1314,474,360,76
345,971,544,630,230,56
346,4,706,550,192,214
347,2,175,298,430,84
348,14,547,266,236,266
349,399,2216,244,268,8
350,10,554,1112,360,468
351,2,1174,1146,264,78
352,2,83,248,448,52
353,2,838,1434,408,26
354,6,51,294,406,18
355,2,1438,1090,368,16
356,2,83,486,1360,12
357,18,51,791,1630,12
358,891,1606,176,306,32
359,2,521,528,708,22
360,2,81,1752,804,210
361,2,255,544,342,174
362,20,676,538,324,490
363,2,1418,400,98,334
364,2,459,714,358,6
365,36,800,750,156,24
366,2,411,942,570,116
367,2,87,800,128,18
368,817,922,1706,626,376
369,2,1198,490,308,32
370,2,1306,904,120,112
371,2,93,386,302,138
372,2,33,519,198,100
373,174,43,594,884,60
374,2,135,399,330,162
375,537,1104,910,798,14
376,843,1440,226,116,22
377,2,632,1048,108,240
378,1677,1143,1120,356,8
379,2,71,161,354,52
380,2,980,1244,234,22
381,4,828,660,1708,68
382,6,81,720,1762,284
383,62,852,338,84,22
