obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,419,370,252,88,12
2,2,536,400,152,46
3,2,814,804,204,10
4,421,390,280,136,28
5,8,568,256,202,32
6,4,676,460,194,14
7,2,704,826,210,44
8,2,578,484,118,8
9,2,542,316,576,14
10,2,522,208,182,30
11,771,518,220,278,18
12,12,382,230,310,18
13,2,454,582,250,6
14,839,338,328,126,6
15,2,660,520,190,82
16,4,458,264,378,142
17,421,594,596,94,62
18,487,53,442,106,32
19,40,536,222,124,60
20,595,442,234,124,32
21,383,252,440,302,32
22,789,854,586,448,6
23,477,416,408,134,16
24,635,616,404,160,34
25,90,664,378,254,32
26,24,322,302,208,10
27,70,330,200,214,16
28,2,810,384,160,10
29,22,518,586,248,64
30,697,720,526,120,10
31,611,266,328,96,20
32,529,678,318,44,10
33,2,506,352,216,12
34,505,446,208,114,8
35,2,420,368,360,266
36,8,422,268,190,6
37,2,664,462,178,226
38,22,370,246,128,12
39,4,424,324,148,12
40,2,576,300,194,66
41,2,924,342,246,14
42,150,19,268,150,56
43,92,145,206,258,18
44,2,562,314,130,124
45,525,768,118,232,10
46,2,748,390,294,58
47,8,542,264,142,12
48,2,378,584,172,56
49,2,620,378,94,38
50,10,582,552,166,118
51,2,604,534,72,6
52,2,404,282,70,68
53,4,462,324,194,10
54,933,484,382,106,14
55,4,880,420,74,128
56,2,840,154,326,10
57,2,450,394,236,10
58,551,504,328,304,88
59,2,524,198,148,8
60,2,506,338,466,30
61,361,1122,302,84,34
62,6,504,196,82,14
63,2,386,130,110,18
64,4,500,408,96,110
65,2,452,264,142,22
66,2,326,112,154,62
67,4,350,292,128,36
68,2,298,388,158,10
69,166,408,204,368,8
70,20,546,384,400,64
71,2,612,296,256,64
72,4,618,582,140,38
73,493,390,444,168,20
74,4,964,634,186,8
75,42,304,578,80,8
76,647,418,640,90,10
77,775,526,426,288,28
78,2,416,310,508,24
79,2,548,276,130,18
80,2,418,376,154,258
81,24,27,252,124,10
82,1059,768,206,200,8
83,6,368,364,108,32
84,509,298,168,72,86
85,2,740,390,340,8
86,2,490,416,230,22
87,711,362,454,66,194
88,4,570,430,148,170
89,2,217,306,216,14
90,2,312,356,100,38
91,2,322,352,208,26
92,2,392,216,98,148
93,271,628,392,194,14
94,38,718,324,236,6
95,1163,284,298,128,56
96,2,446,412,236,46
97,10,328,368,222,18
98,20,930,202,124,76
99,4,374,246,60,42
100,2,478,342,314,26
101,415,204,568,178,10
102,4,382,158,478,6
103,669,632,276,202,30
104,2,35,344,532,16
105,649,774,328,88,48
106,685,476,360,118,26
107,261,640,316,292,32
108,2,203,330,132,58
109,2,414,142,76,78
110,6,374,264,536,26
111,2,374,980,118,28
112,6,416,344,260,72
113,8,350,226,448,26
114,273,604,256,162,6
115,2,29,146,306,74
116,18,470,430,174,36
117,24,159,228,174,12
118,323,286,490,106,38
119,2,306,190,76,22
120,2,514,450,96,10
121,2,392,202,104,6
122,4,612,304,74,24
123,2,522,166,106,58
124,4,658,286,306,14
125,527,302,198,56,26
126,4,402,320,234,48
127,4,444,244,222,60
128,327,247,390,310,24
129,2,544,254,172,6
130,20,446,392,154,22
131,489,904,270,220,22
132,2,422,246,148,58
133,423,702,314,218,50
134,2,400,310,264,306
135,2,326,240,356,182
136,10,336,232,118,34
137,4,330,450,52,18
138,46,358,316,210,76
139,4,522,326,180,30
140,4,434,310,104,24
141,617,778,250,906,24
142,2,532,332,278,16
143,419,592,164,224,14
144,553,434,342,64,40
145,875,368,458,114,30
146,4,284,244,126,52
147,2,89,272,292,82
148,6,520,250,100,104
149,72,372,238,292,6
150,2,744,272,224,12
151,537,426,406,348,6
152,285,316,326,322,50
153,2,336,166,168,152
154,2,290,416,124,22
155,2,63,214,202,42
156,10,792,354,92,84
157,8,380,418,112,6
158,2,600,180,252,32
159,2,534,208,160,182
160,403,664,294,130,6
161,2,360,242,46,24
162,18,538,358,130,12
163,2,236,368,130,148
164,2,634,190,260,90
165,2,412,252,136,68
166,6,404,512,202,20
167,2,376,192,200,32
168,2,322,168,326,24
169,4,408,228,136,18
170,2,562,284,102,62
171,313,414,190,108,174
172,2,478,314,138,10
173,2,602,318,228,106
174,2,598,376,210,70
175,2,302,236,280,10
176,2,25,348,258,12
177,905,888,158,204,142
178,4,388,344,232,144
179,4,430,170,224,6
180,4,564,388,164,16
181,2,1026,334,88,66
182,315,414,392,150,50
183,337,534,244,76,46
184,2,538,144,300,56
185,188,610,410,122,12
186,2,508,564,384,34
187,561,310,260,160,18
188,2,326,436,172,8
189,2,468,400,126,14
190,4,310,522,110,12
191,2,580,326,340,52
192,12,488,150,258,8
193,4,254,474,136,16
194,8,280,658,100,54
195,8,544,224,164,22
196,2,834,132,110,80
197,447,546,266,80,152
198,2,496,288,432,14
199,2,340,212,186,54
200,2,742,690,250,8
201,2,448,352,46,36
202,387,674,336,246,54
203,2,408,382,62,10
204,345,684,260,176,8
205,455,682,588,264,70
206,443,348,348,684,20
207,2,402,386,138,64
208,12,155,368,232,24
209,2,382,158,76,26
210,2,484,392,150,28
211,881,1336,348,278,28
212,4,452,184,88,40
213,8,444,224,126,170
214,2,622,202,208,34
215,28,25,364,138,14
216,2,640,214,92,22
217,2,700,268,230,16
218,34,538,424,132,70
219,4,406,262,88,40
220,383,770,234,216,14
221,577,394,482,204,152
222,2,446,246,166,10
223,12,548,346,300,30
224,2,474,526,374,6
225,2,79,440,100,30
226,2,35,320,236,16
227,2,280,212,306,8
228,6,354,276,200,30
229,2,896,272,182,64
230,2,344,424,102,8
231,423,460,294,132,58
232,18,59,438,210,24
233,64,540,184,138,26
234,331,272,254,88,10
235,6,264,332,178,16
236,30,324,144,184,22
237,2,35,190,276,58
238,2,616,774,264,8
239,743,328,554,118,6
240,579,652,286,228,22
241,2,388,342,136,8
242,4,500,214,68,42
243,32,376,200,100,12
244,2,119,312,120,24
245,12,336,364,234,378
