obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,10,3299,2173,1859,2219
2,2,47,1747,4147,577
3,2,169,1767,1711,1169
4,4,287,1443,2571,753
5,2,1463,1741,1417,867
6,14,4647,4135,1763,961
7,2,157,1573,4203,1077
8,3466,29,1753,1425,3385
9,44,157,3679,1453,3011
10,2,1379,1165,1381,1073
11,16,2391,3439,2251,1247
12,8,2695,1571,785,1941
13,6,39,2041,1447,2549
14,10,163,1215,1855,673
15,2,1349,2105,2039,1463
16,2,2147,1633,1827,1165
17,4,259,1417,1375,1915
18,4,113,4279,1723,1487
19,2,3919,1829,1539,827
20,2,3731,2271,3155,1253
21,3448,85,2465,1011,1517
22,106,91,2827,1209,3581
23,2,83,1283,1661,717
24,10,2721,3695,713,1795
25,12,3701,1969,1417,3749
26,2,347,1377,1565,1001
27,1474,3007,327,1707,1979
28,8,2241,1461,2157,883
29,10,4293,3515,3855,1205
30,2,67,1211,1067,1009
31,2,2285,3209,987,2121
32,1546,1135,1881,1983,1397
33,2522,2457,139,1581,1813
34,68,2069,2551,2717,3067
35,2,1983,1573,1607,799
36,18,2649,3069,4395,1109
37,2,159,2071,1365,817
38,910,3227,1747,3119,999
39,2,513,2441,2843,671
40,10,145,2361,1289,1497
41,80,1697,2693,963,1239
42,4,2237,2553,759,737
43,2,2227,3553,1471,1487
44,2,123,1921,2417,3031
45,2,35,4069,819,2963
46,8,75,2693,2283,1359
47,2,2163,1477,1465,1489
48,2,47,1235,2203,1117
49,2,21,2505,2197,1235
50,4,279,4401,1657,1477
51,16,69,1487,1371,1325
52,4,2097,2275,4379,1245
53,6,99,2415,1933,1145
54,2,1781,1937,4411,819
55,2,2999,2403,2605,1425
56,2216,67,2567,1003,621
57,34,1725,1061,2577,2305
58,2,3219,1061,5335,599
59,2,1833,4473,909,1245
60,4,209,3533,1717,3349
61,2,73,3783,1497,3813
62,2,2829,3551,1683,759
63,4,103,2165,2085,2059
64,34,4461,1905,1727,2313
65,168,181,1965,1865,1041
66,412,2257,1965,1533,1989
67,2,21,2929,1881,1075
68,8,3007,3351,2149,429
69,2,2027,1933,697,1139
70,2944,71,3631,2727,1059
71,18,2185,1941,1777,1325
72,2,1613,2239,2215,2005
73,18,187,2867,1061,1027
74,6,2441,3125,2793,3143
75,4,1215,2245,3247,917
76,2,2163,1499,2401,833
77,3074,1527,2485,1119,2713
78,2,271,3773,2065,2713
79,2,2943,3829,1465,697
80,6,479,2545,2411,1123
81,4,1919,3129,1375,987
82,4,3549,1939,3031,1985
83,2,97,6047,953,1435
84,2,1505,2951,1941,1837
85,16,3119,2373,2131,1645
86,2,2369,1735,1959,2339
87,2,45,711,1357,1805
88,2,75,415,2725,905
89,2,2089,2623,1823,1153
90,2,241,501,1319,1079
91,6,3451,2561,515,723
92,12,37,1305,2277,751
93,2,409,1551,1459,459
94,2,5259,2903,2757,2757
95,2,23,3635,1201,2221
96,2,2341,2333,1829,1101
97,6,79,3263,1299,1077
98,2,427,2249,2661,1009
99,2,39,3193,1661,725
100,2,3551,2159,1677,4253
101,42,45,643,2263,1627
102,2,527,531,3845,1275
103,2,1787,1615,1885,2935
104,10,297,1543,1633,1565
105,52,319,2657,1471,1549
106,2,71,1789,1211,2137
107,6,2501,2321,2307,1551
108,280,3273,1319,1403,2637
109,2,2301,2779,1009,2589
110,32,2433,1547,2137,681
111,14,4367,1705,1783,833
112,32,4889,1759,2951,891
113,4,2473,271,1191,1445
114,2,161,3061,6403,841
115,2,3753,2169,1393,2545
116,8,2199,2833,1507,921
117,4,2243,2869,1445,1455
118,1974,239,2467,1433,1603
119,2,3591,1717,873,1485
120,116,2565,3243,859,1283
121,4,2021,3277,2711,1225
122,2,4291,2275,2225,1539
123,2,4915,2707,3435,3017
124,4,2803,4451,1331,1743
125,2,2991,217,1867,1283
126,32,1365,2119,1121,1927
127,2,3697,2515,2711,4413
128,4,2361,3041,1661,1327
129,2,2377,1185,2871,1189
130,16,229,2999,4635,803
131,158,6407,1807,1153,499
132,12,537,2197,1943,1447
133,2,3061,1549,4349,2001
134,1408,65,1697,2527,1513
135,2,2669,3143,2091,1465
136,4,1715,1985,1331,2203
137,2,3463,2331,1497,1681
138,286,1687,99,1191,1219
139,4,3741,3269,1891,1779
140,4,27,1639,2095,711
141,20,4015,3193,1249,755
142,90,71,237,3701,765
143,2,23,1591,1821,2089
144,4,1937,2985,2343,2595
145,3208,2721,5939,2103,1151
146,26,159,4043,2127,1893
147,14,2169,1769,1081,2127
148,4,1813,1831,3967,1527
149,4106,2871,1691,1179,1827
150,2,2745,3763,2953,3903
151,8,625,2795,2397,1159
152,2,2573,1691,1851,1815
153,2,15,1327,2597,1659
154,2,3167,2069,1705,1825
155,2,51,3141,1841,5435
156,8,65,1289,3057,1169
157,5196,13,3205,2777,1561
158,2,2375,3105,1467,1067
159,92,675,603,1395,1387
160,2,1905,1719,3773,1411
161,152,2799,2103,2359,881
162,2,103,2469,3483,1647
163,2,1837,2185,2287,1913
164,2,2767,4219,4527,1413
165,6,2177,2289,2325,965
166,3148,1485,1163,1039,1111
167,16,2219,2699,2879,2003
168,2,91,2079,1539,1323
169,3064,3965,1769,1763,1945
170,2,1717,7861,1001,2253
171,2932,4041,1889,2471,899
172,2436,81,1951,3363,1433
173,2,19,2279,3725,3855
174,110,2535,1549,1919,1931
175,2082,1787,1963,2141,1881
176,8,3027,2733,3011,2605
177,2808,3709,1563,3221,1629
178,106,37,2313,2929,1737
179,2,303,1431,1147,555
180,4094,4349,2773,2415,2743
181,4,5473,1947,3279,1939
182,2,2687,343,3621,8077
183,26,33,1725,1361,1149
184,3540,207,1057,1733,1527
185,6,51,2159,1861,2121
186,86,2137,1645,3707,847
187,4,2241,1561,1917,727
188,10,1545,2027,2219,1631
189,6,2073,4011,843,1145
190,2,3007,2709,2543,1905
191,38,2557,2023,1733,1433
192,2,123,2853,2015,1151
193,46,1979,2133,1481,1693
194,2,3657,1529,1575,1779
195,4,485,1737,3041,773
196,4,2069,1383,1609,3195
197,2,125,2837,2879,1371
198,2,1537,3201,2091,1569
199,2768,1393,1111,2475,971
200,16,4643,1773,3445,1585
201,2,2085,3645,1873,1037
202,2,5075,1421,3219,1389
203,2,2347,2491,2535,2691
204,2,1823,4123,1229,1077
205,2,1911,2191,2217,3013
