obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,8,304,202,158,14
2,8,316,562,80,34
3,2,424,126,58,26
4,6,282,138,102,8
5,2,256,156,194,6
6,6,284,356,162,10
7,8,440,114,112,58
8,597,378,178,86,42
9,345,111,342,108,20
10,387,290,260,86,206
11,2,232,242,130,18
12,2,224,162,146,28
13,2,316,188,220,16
14,385,314,244,72,28
15,2,332,190,88,22
16,8,290,292,158,10
17,357,236,306,262,164
18,16,314,194,196,32
19,4,238,324,126,6
20,323,248,156,74,18
21,383,240,430,52,28
22,397,288,350,76,14
23,2,160,254,122,60
24,2,322,204,244,16
25,319,378,538,106,10
26,2,352,208,102,38
27,2,212,200,142,30
28,26,292,266,62,18
29,2,300,366,138,90
30,6,328,180,126,72
31,2,402,160,72,10
32,2,208,218,116,10
33,4,298,166,72,18
34,2,394,256,154,24
35,26,246,182,164,8
36,4,210,238,102,28
37,667,326,150,118,18
38,6,268,134,108,6
39,46,358,332,98,8
40,341,45,374,200,10
41,4,444,194,90,10
42,309,254,144,290,52
43,8,270,200,132,70
44,355,318,270,88,38
45,449,390,206,118,10
46,2,412,174,72,16
47,301,358,162,178,8
48,2,274,242,158,10
49,2,310,228,140,56
50,2,428,164,100,22
51,499,636,186,126,16
52,2,204,258,158,16
53,4,220,230,112,34
54,2,398,250,92,12
55,207,344,292,66,10
56,2,338,144,92,114
57,381,318,290,64,26
58,10,472,122,84,8
59,10,298,170,70,16
60,395,278,126,86,6
61,2,274,116,78,16
62,243,218,372,150,10
63,2,304,112,96,58
64,2,280,244,126,10
65,399,250,682,122,32
66,2,292,186,94,8
67,2,482,140,156,26
68,6,452,378,138,10
69,4,190,182,156,34
70,4,342,252,112,6
71,4,442,280,96,50
72,2,298,126,228,100
73,237,412,206,236,10
74,8,330,270,104,12
75,423,364,382,180,26
76,6,380,172,126,28
77,385,346,208,196,12
78,2,266,278,124,44
79,2,23,268,112,6
80,449,290,132,50,48
81,2,372,180,92,38
82,2,226,176,128,18
83,261,268,238,154,20
84,2,374,194,94,12
85,4,400,142,180,6
86,2,386,210,98,28
87,177,312,232,106,20
88,449,226,196,156,20
89,273,386,334,166,50
90,4,396,260,114,12
91,4,280,166,94,64
92,389,448,184,146,20
93,4,356,308,104,22
94,341,336,298,228,10
95,2,344,222,80,18
96,2,334,166,78,28
97,287,328,152,84,14
98,247,286,186,136,44
99,6,362,132,128,28
100,22,282,308,94,26
101,30,304,146,234,10
102,2,360,354,106,20
103,2,306,176,252,12
104,10,612,182,94,12
105,473,254,278,98,24
106,92,292,258,68,6
107,4,302,190,208,10
108,2,368,144,208,8
109,4,386,240,94,62
110,509,420,316,74,18
111,517,312,256,70,12
112,2,308,172,108,30
113,2,248,278,122,22
114,2,300,338,110,20
115,325,260,296,100,64
116,2,616,246,60,32
117,2,310,118,84,56
118,2,372,172,124,32
119,10,214,174,78,20
120,4,372,438,104,18
121,2,242,148,126,42
122,267,390,190,304,28
123,2,326,334,260,8
124,8,242,418,242,18
125,2,382,162,218,14
126,10,344,182,104,6
127,473,234,252,68,8
128,269,302,182,252,10
129,2,270,166,64,12
130,6,352,134,46,16
131,377,358,134,140,46
132,2,386,272,142,16
133,2,290,160,170,6
134,6,240,156,144,16
135,2,382,270,74,32
136,319,376,268,108,14
137,2,204,258,156,12
138,223,304,214,168,60
139,2,386,160,152,28
140,419,428,128,134,12
141,397,446,334,198,8
142,2,222,424,188,114
143,2,650,318,134,26
144,4,334,300,186,98
145,2,196,188,172,22
146,8,230,168,128,32
147,247,184,378,186,34
148,4,224,298,44,46
149,2,330,256,122,6
150,321,286,246,88,6
151,237,286,220,122,10
152,4,454,264,134,68
153,8,208,190,166,20
154,411,358,178,102,32
155,2,360,180,320,18
156,2,262,196,68,16
157,2,398,260,76,10
158,2,408,202,166,44
159,2,288,188,106,28
160,2,27,196,78,28
161,439,346,350,86,14
162,293,224,280,64,18
163,2,242,400,134,82
164,6,378,278,90,24
165,433,474,158,198,22
166,2,306,206,68,14
167,4,378,178,126,10
168,4,35,308,160,120
169,285,374,194,98,34
170,2,260,224,268,30
171,405,278,226,148,18
172,2,290,214,68,16
173,2,294,140,76,10
174,2,496,188,108,16
175,4,288,150,162,16
176,4,250,176,158,8
177,16,396,164,88,44
178,26,212,206,104,16
179,2,402,246,86,196
180,341,390,240,34,12
181,2,302,216,96,72
182,365,358,232,166,56
183,6,368,222,72,10
184,12,280,260,282,52
185,18,336,194,126,56
186,4,276,202,154,34
187,497,272,198,162,20
188,319,330,302,60,8
189,2,308,180,154,16
190,385,278,260,88,6
191,14,240,276,112,8
192,2,166,138,112,28
193,6,496,180,114,32
194,2,256,152,130,90
195,389,302,172,138,10
196,379,248,264,60,72
197,2,372,220,182,48
198,285,320,156,128,6
199,2,226,224,174,34
200,307,340,172,146,22
201,489,282,316,90,78
202,2,350,160,244,14
203,2,338,270,106,8
204,14,278,226,72,12
205,26,340,402,114,22
206,6,260,292,174,6
207,2,374,214,140,10
208,245,334,222,76,6
209,229,318,156,90,24
210,10,330,272,182,8
211,2,328,274,140,10
212,247,464,292,88,6
213,509,298,212,164,14
214,4,402,146,90,16
215,363,524,238,122,34
216,2,428,404,146,10
217,2,242,202,92,12
218,2,256,198,280,28
219,2,410,222,74,16
220,325,250,250,210,24
221,2,302,240,84,50
222,373,316,486,96,38
223,231,334,150,56,12
224,2,408,228,132,18
225,2,184,108,52,44
226,4,202,164,124,10
227,2,216,198,92,14
228,2,394,416,58,8
229,2,480,184,122,46
230,2,294,118,102,10
231,2,366,274,102,18
232,265,254,298,110,10
233,28,458,226,74,18
234,339,292,196,188,18
235,511,374,244,70,36
236,2,206,118,188,6
237,419,300,202,138,46
238,8,312,184,102,24
239,2,434,202,68,18
240,227,482,196,170,38
241,2,304,86,62,26
242,24,270,218,206,6
243,2,450,580,70,28
244,2,312,178,94,14
245,2,292,370,74,60
246,2,312,246,112,24
247,4,400,150,160,22
248,2,320,300,78,8
249,331,268,320,104,36
250,2,340,264,130,18
251,385,702,152,172,60
252,325,438,240,122,8
253,8,284,196,138,18
254,253,262,166,46,30
255,6,354,258,128,10
256,2,292,318,88,72
257,2,272,242,78,56
258,467,340,246,80,14
259,313,166,228,80,48
260,431,470,212,120,30
261,281,334,250,186,20
262,2,198,190,90,22
263,315,374,162,106,10
264,2,280,250,100,12
265,2,410,346,176,14
266,2,416,154,194,10
267,467,236,264,230,6
268,6,446,146,124,6
269,2,288,222,164,8
270,2,306,140,132,8
271,421,103,232,134,22
272,379,294,214,128,6
273,2,344,176,124,26
274,2,540,152,166,34
275,10,63,314,54,12
276,375,536,214,64,8
277,66,330,204,152,24
278,2,350,140,78,66
279,395,436,158,244,24
280,285,216,212,172,14
281,2,324,322,114,18
282,2,408,124,82,12
283,2,314,294,164,28
284,2,248,266,266,12
285,311,394,182,70,16
286,2,366,200,58,24
287,8,362,222,66,36
288,2,238,188,228,64
289,357,246,114,140,30
290,345,272,292,138,8
291,2,554,146,162,52
292,6,240,156,288,8
293,68,226,218,94,18
294,2,380,510,110,8
295,2,466,194,76,12
296,457,342,212,48,18
297,479,248,94,78,54
