obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,2,83,2259,3591,1249
2,2,9139,1359,389,1465
3,2,239,2087,4113,3073
4,2,175,1065,541,1395
5,2,5575,513,2443,667
6,32,37,2835,4517,321
7,2,189,7425,1091,1025
8,2,1185,4233,811,573
9,2,205,553,705,867
10,2,125,6401,455,451
11,2,1531,1489,3537,1801
12,32,49,1837,1225,503
13,168,1307,8175,3779,1539
14,2,8085,3787,2067,3057
15,22,291,1875,5127,2361
16,4,461,907,6943,1055
17,4,2319,4155,2929,933
18,8,543,127,1881,1589
19,2,25,1601,3389,909
20,4,3217,247,1741,1369
21,2,4245,401,4621,1663
22,4,25,807,4467,3373
23,236,39,315,4485,1671
24,2,103,605,927,1729
25,2,57,1849,3695,371
26,2,127,271,4811,1989
27,2,1271,3769,1653,5475
28,4,3177,497,3969,2025
29,4,2397,547,809,4375
30,156,1327,959,2353,2655
31,94,1199,1375,811,4571
32,12,193,2351,3267,4991
33,2,5227,649,585,1187
34,2,2265,429,1071,931
35,4,1483,1059,2803,793
36,18,33,1207,6673,4033
37,4,2103,1817,3507,649
38,2,447,2067,3097,11261
39,6,81,663,2365,925
40,12,147,1859,995,497
41,8,2575,1517,439,1207
42,3762,131,1169,4125,827
43,2,39,893,3321,887
44,22,55,477,2251,223
45,2,197,1115,3619,4457
46,2,347,685,1459,1377
47,10,295,2691,5819,1059
48,2,453,3435,1035,6947
49,2,81,197,1673,535
50,48,59,5223,857,1393
51,2884,89,2349,2191,4701
52,30,175,603,953,643
53,2,93,3017,4057,97
54,16,123,1293,1651,235
55,2,109,789,693,507
56,4,21,257,3003,5349
57,48,103,2153,1919,2799
58,4,931,935,1431,3523
59,2,1005,4103,7455,819
60,4,3435,815,3979,2371
61,52,77,137,1397,2047
62,8,81,3093,365,2743
63,2,147,2865,3419,517
64,2,1451,8069,2747,4049
65,2,2181,933,2485,453
66,16,509,1469,2829,1233
67,316,91,7565,735,3431
68,2,255,371,2101,6955
69,2,393,727,955,299
70,2,527,2629,2247,281
71,6,591,201,1049,11667
72,2,1651,803,5683,721
73,2,113,869,871,1207
74,2,47,3135,1827,4077
75,2,67,633,3815,1003
76,534,449,1179,3301,447
77,134,71,1567,4533,2617
78,2,1689,833,1563,9523
79,4,121,285,1533,2453
80,2,5611,2129,3705,1029
81,12,4017,1587,795,9953
82,2,431,645,2027,3449
83,6,103,473,949,5403
84,2,231,5419,2877,1039
85,2,1145,249,3311,1353
86,2,69,2177,4065,453
87,2,121,597,4657,485
88,20,3461,1013,4683,2527
89,2,2027,3297,7529,177
90,12,1473,1873,1289,7567
91,2,1767,2021,1679,1603
92,2,47,1197,947,5259
93,4,89,525,247,225
94,2,57,417,9569,1081
95,12,39,451,3765,971
96,4,175,3405,1465,2837
97,2,551,1193,2805,539
98,2,153,285,7335,1257
99,6,8453,539,1143,425
100,4,2623,1619,1119,495
101,2,3429,5415,3027,1875
102,2,37,2387,1079,1451
103,4,123,1577,767,1831
104,2,375,5865,587,2887
105,134,4685,3545,1199,161
106,2,4323,4259,1325,827
107,2,83,2171,1289,1573
108,4,1153,5425,1571,1781
109,3110,2851,3517,4137,377
110,4,59,1337,2807,455
111,12,2207,1049,971,1167
112,4,195,491,3585,1267
113,32,73,2363,1301,3531
114,8,41,1091,3717,689
115,2,2837,181,1411,249
116,2,1985,5747,1077,5441
117,2,5149,1037,1519,1133
118,2,91,5821,457,4081
119,42,715,205,775,177
120,2,35,843,2743,883
121,2,79,3211,3599,475
122,20,657,2049,813,305
123,8,271,4909,2193,701
124,2,859,583,1737,567
125,4,1299,287,1341,3207
126,624,2433,2443,2027,3509
127,2,355,2123,1681,3793
128,4,31,799,2291,2407
129,2888,205,311,739,535
130,18,97,4879,2013,2869
131,4,79,3647,2347,1551
132,2,97,8383,2353,5217
133,6,267,2171,1561,253
134,6,37,4433,3647,973
135,2,361,3211,7837,3219
136,4,613,375,3169,399
137,4,87,4131,947,2975
138,40,237,1935,1037,649
139,2,169,609,2085,757
140,2,283,701,2169,2671
141,2,483,1097,3643,2745
142,26,63,649,2187,345
143,72,153,2329,4953,3929
144,2,1701,4891,1335,8409
145,10,83,343,1557,287
146,4,327,1519,835,3019
147,2,5071,407,327,3847
148,28,43,219,3513,6191
149,2,161,1771,745,4567
150,8,3451,345,1685,6131
151,20,1165,1515,695,5775
152,6,975,999,709,1179
153,2,77,3059,813,525
154,40,645,597,2137,707
155,4,477,247,2307,4767
156,6,93,2377,2773,389
157,2140,1903,723,6081,2885
158,66,39,187,3557,3677
159,2,19,2719,1875,1303
160,6,2009,5085,1013,4097
161,2,45,2599,1435,1513
162,4,81,1903,1945,305
163,8,213,2585,1009,5207
164,6,179,3665,1265,199
165,2,211,255,2357,421
166,6,497,1949,1629,235
167,162,95,4253,3651,979
168,4,11,333,1501,3207
169,16,4017,751,931,1217
170,1940,61,2747,5151,1013
171,22,917,949,417,513
172,234,35,2667,1721,2289
173,22,45,6027,5973,1685
174,2,965,173,6973,997
175,4,19,2933,3017,2209
176,4,19,243,2223,203
177,2,39,1001,2719,2013
178,26,2711,4763,565,849
179,12,113,4485,6051,1813
180,2,53,313,2625,1731
181,84,541,5387,835,1051
182,38,195,3131,3353,923
183,2,2367,1919,937,815
184,2,27,1951,717,1091
185,2,81,261,2583,373
186,2,2215,153,3269,371
187,2,2029,8729,1009,12185
188,4,49,1233,1115,1509
189,1278,10501,451,3489,771
190,8,19,2165,285,409
191,2,359,2435,5327,2807
192,2,53,2117,1693,3871
193,2,3707,2183,1343,1887
194,2,1775,497,1433,4785
195,12,119,995,2359,1553
196,2,1697,5627,10707,4655
197,2,27,2797,823,541
198,2,59,2505,399,2695
199,2,2241,1471,1441,631
200,2,213,875,3805,413
201,2,1469,1997,1009,1053
202,2,1427,2323,639,1271
203,8,353,2169,785,1947
204,16,85,2455,1069,1063
205,22,429,495,691,2151
206,72,1469,2579,2123,1759
207,7064,339,685,447,1759
208,2,55,1533,4103,365
209,2,183,449,425,1557
210,14,35,1647,9087,1423
211,164,73,1935,5355,3229
212,46,223,655,1701,303
213,6,1523,1001,1565,749
214,2,415,5191,4725,4461
215,2,253,1153,629,267
216,2,127,1225,1481,1019
217,2,609,1393,1023,259
218,2,77,1119,1651,4905
219,6,205,1543,1251,6105
220,2,929,383,1297,2937
221,4,77,375,599,5985
222,8,2071,751,643,2367
223,4,4673,1451,6317,1285
224,30,233,1891,617,2871
225,8,2819,1039,997,703
226,2,177,2239,3487,2207
227,8,91,7785,7559,1995
228,2,61,1079,463,5059
229,4,45,2521,4005,1223
230,2,199,7609,1133,843
231,2,43,283,3061,139
232,6,1993,4125,455,3443
233,114,215,2739,1341,1257
234,2,25,1069,835,1405
235,2,21,3975,2567,2419
236,14,57,467,2333,2507
237,2,71,335,2771,1425
238,4,95,2611,467,1737
239,4,177,2573,299,1449
240,2,67,1367,1819,3677
241,6,19,1717,1611,361
242,2,69,217,2067,587
243,114,919,151,12925,459
244,2,231,1289,1023,2017
245,2,65,2395,713,3807
246,6,47,631,1997,1479
247,12,309,3939,3409,5039
248,4,10181,339,1291,1893
249,6,43,2627,1385,661
250,146,3865,1673,907,2471
251,18,61,4257,867,2313
252,2,177,3291,1093,155
253,60,391,343,1013,119
254,22,73,3623,2195,1653
255,4,497,1825,841,491
256,622,1217,3189,1101,1291
257,2,357,989,2535,1761
258,2,61,1117,7861,2989
259,8,65,2351,1085,227
260,2,271,2231,947,3169
261,10,105,5441,5655,483
262,304,209,3395,383,429
263,2,189,831,1819,9315
264,6,739,2501,1485,4873
265,2,825,619,949,4799
266,2,155,4755,3233,5495
267,2,2111,1117,619,1411
268,4,563,5267,5057,2463
269,1804,51,2519,823,529
270,2,361,7761,315,575
271,2,25,173,1325,5679
272,2,1311,1557,695,243
273,2,7235,1729,1147,6107
274,1258,189,755,943,4435
275,2,4407,3123,1175,849
276,18,683,623,2331,1849
277,4,71,6525,1013,1427
278,2,25,3009,5383,329
279,190,61,9721,479,1481
280,2,2775,3037,6133,1139
281,2,25,2193,2611,471
282,4,199,1931,607,1041
283,4,399,305,465,3645
284,2,853,1525,3555,1635
285,2,225,7801,1475,6161
286,2,1973,1221,1071,4369
287,14,517,3647,7101,353
288,5084,1717,217,2177,3565
289,6,1003,725,765,2587
290,4,1451,739,2121,1227
291,2,389,909,1973,689
292,2,263,3185,3667,3145
293,2,89,379,5697,279
294,16,45,1613,6807,1885
295,58,1735,6153,2393,4329
296,2,41,281,719,1385
297,2,569,1287,8797,2025
298,80,115,3365,2289,1349
299,2,309,6637,6989,823
300,8,2893,1491,487,2891
301,2,3457,1507,1817,451
302,2,91,905,1679,1697
303,2,111,161,949,993
304,2,1105,567,1813,977
305,3166,4355,3211,1235,6257
306,6,969,503,683,2507
307,2,479,7389,3791,2309
308,3110,67,1193,7445,1027
309,2,179,1409,4227,2077
310,8,539,1811,1559,2961
311,38,67,547,2169,1039
312,4,557,235,1133,477
313,4,1313,393,1841,1629
314,2,2825,705,749,333
315,2,235,3341,693,1947
316,2,677,333,5233,537
317,2,201,1167,1055,1849
318,2,2133,691,5931,1269
319,2,97,5855,513,2005
320,70,1199,263,10019,2415
321,10,283,2875,1745,9291
322,4,3335,859,2865,533
323,12,2557,1491,2699,299
324,2,43,1645,841,187
325,8,151,2223,2353,335
326,4,191,565,1943,5731
327,2,5375,5789,2383,3909
328,6,235,2715,429,1899
329,10,171,1559,4751,1695
330,4,139,963,1229,969
331,2,161,989,4089,1919
332,12,67,543,3079,4575
333,4,165,1035,1067,1431
334,112,605,1511,657,861
335,10,105,829,3615,765
336,2,17,1081,1263,2361
337,2,1031,713,1119,429
338,2,4849,2525,457,7083
339,2,45,1939,303,1249
340,2,3635,2753,4231,505
341,46,201,559,2149,929
342,150,1153,1063,603,811
343,2,43,631,4329,5145
344,2,601,3101,2393,7785
345,10,1937,1063,741,3859
346,2,6955,1343,511,5321
347,4,1537,343,3297,551
348,2,1005,431,2715,461
349,2,47,2999,3119,271
350,2,117,8201,1795,7007
351,8,8625,1615,4861,1183
352,4,63,851,723,715
353,2,361,223,2217,4001
354,2,277,1295,5123,3485
355,2,2721,1601,969,3423
356,50,175,447,2621,1643
357,1318,1295,1963,1827,4389
358,16,105,1147,6237,1859
359,2,123,2309,437,3095
360,2,159,1509,753,901
361,2,303,1089,1609,2695
362,10,1149,1021,357,747
363,2,2629,991,4691,491
364,2,5983,1053,6945,409
365,8,305,3331,2171,989
366,2,79,845,1255,2409
367,4,73,1475,3935,581
368,2,389,595,3189,1125
369,2,473,2287,3535,2789
370,28,181,209,5181,313
371,2,33,6775,4565,4613
372,3100,699,4819,1461,1013
373,2,15,2407,501,743
374,2,33,399,2421,3629
375,2,865,2321,2005,293
376,10,853,1159,1925,1265
377,2,6513,1239,2295,1519
378,2,93,2633,1485,299
379,14,619,1845,503,1193
380,86,31,467,5781,1249
381,2,301,3895,779,3391
382,4,33,2369,9859,2015
383,2,993,433,2817,2755
384,2,55,5773,2865,691
385,18,1505,2721,2181,785
386,4,1869,4099,2555,293
387,2,43,2369,4049,2391
388,2,65,825,3365,809
389,4,379,569,1191,485
390,2,145,235,2753,1281
391,2,823,3559,777,899
392,6,59,495,4929,1385
393,2,6935,9627,4709,2279
394,4,3255,5581,1329,1895
395,12,19,2053,5647,369
396,2,119,557,281,985
397,2,3015,1767,2473,1141
398,2,625,4919,501,5305
399,2,471,1919,1653,459
400,2,99,2119,1175,2817
401,36,2369,9717,2499,1431
402,2,43,1843,1983,2297
403,18,1033,7403,4569,1923
404,2,313,4477,1037,4905
405,2,257,2783,1135,651
406,12,329,259,2027,1103
407,4,53,235,2369,419
408,2,87,6053,677,1991
409,2,135,1997,1451,1063
410,58,205,2759,1901,7235
411,2,1081,231,1525,493
412,2,2363,1607,7311,323
413,22,391,5085,1769,205
414,2,1233,635,3865,719
415,8,183,4461,2503,2299
416,50,3015,761,2301,539
417,2,213,811,1893,3843
