obs_ID,initMutPop_1,initMutPop_10,initMutPop_30,initMutPop_50,initMutPop_70
1,10,607,509,403,255
2,642,849,489,473,267
3,2,1031,629,509,381
4,26,629,613,355,305
5,6,677,531,599,553
6,736,623,653,349,275
7,1306,649,599,475,423
8,614,641,555,429,337
9,2,767,577,381,495
10,602,797,633,331,291
11,36,677,825,421,355
12,2,951,495,569,263
13,2,761,457,375,393
14,4,701,519,373,223
15,8,669,549,481,573
16,4,839,537,473,509
17,2,919,461,245,369
18,618,595,521,397,451
19,6,949,701,471,449
20,720,587,505,545,587
21,2,779,741,587,343
22,2,657,461,489,275
23,2,697,619,579,335
24,2,627,457,609,355
25,2,655,651,397,389
26,662,897,673,737,309
27,2,647,531,485,381
28,520,673,749,447,475
29,554,789,617,507,535
30,6,615,563,299,523
31,6,761,791,389,519
32,8,817,615,465,341
33,748,763,511,491,397
34,804,631,555,491,415
35,2,859,723,597,435
36,664,723,611,605,357
37,2,789,601,497,251
38,4,587,657,389,253
39,524,631,683,475,285
40,920,643,649,391,399
41,2,735,681,621,385
42,4,601,533,649,389
43,2,647,689,443,499
44,76,523,797,469,317
45,2,943,643,623,343
46,878,471,609,581,393
47,2,495,757,479,581
48,2,561,673,339,377
49,36,665,413,531,405
50,848,579,735,377,415
51,4,873,553,463,533
52,658,767,581,399,375
53,1078,631,605,483,409
54,2,689,619,489,329
55,2,873,569,749,369
56,2,591,549,569,627
57,728,577,517,295,351
58,6,539,587,639,425
59,12,623,601,461,335
60,884,687,577,435,477
61,2,563,501,651,349
62,2,759,507,515,387
63,2,625,831,333,423
64,2,809,759,383,437
65,2,1023,451,547,417
66,776,785,583,637,439
67,2,595,625,339,257
68,10,609,351,413,297
69,710,689,657,501,297
70,682,641,533,473,257
71,994,1049,423,505,355
72,802,787,531,499,299
73,2,569,569,609,379
74,2,413,491,941,505
75,28,661,475,425,331
76,694,659,409,557,275
77,32,641,469,407,435
78,12,709,605,371,431
79,10,569,529,659,391
80,904,841,443,563,481
81,798,749,377,453,409
82,18,765,659,427,367
83,748,653,465,579,485
84,2,619,529,435,313
85,668,639,767,337,505
86,4,459,531,393,405
87,2,521,501,447,417
88,4,705,637,595,501
89,4,721,461,495,413
90,14,739,451,489,495
91,588,621,377,441,315
92,2,695,513,609,395
93,830,713,515,633,531
94,742,707,689,467,255
95,758,87,535,601,351
96,6,889,659,801,435
97,2,659,649,413,327
98,4,721,659,517,297
99,574,669,589,549,401
100,628,563,775,447,375
101,1140,15,519,385,313
102,6,593,665,511,461
103,796,785,519,629,243
104,2,965,809,435,437
105,2,719,549,427,427
106,8,685,727,483,297
107,4,837,439,371,425
108,2,635,799,467,379
109,4,991,637,399,305
110,626,717,535,593,341
111,2,531,703,353,401
112,632,651,589,573,407
113,642,1055,563,461,393
114,6,865,775,507,421
115,882,511,553,469,519
116,2,681,599,463,363
117,2,663,559,397,591
118,2,703,697,459,299
119,4,869,425,447,577
120,566,665,617,563,297
121,4,807,769,515,389
122,2,999,613,523,611
123,852,835,481,367,391
124,658,1013,551,525,509
125,708,581,547,309,597
126,6,701,465,611,427
127,4,693,463,497,429
128,18,605,639,515,407
129,4,601,515,617,401
130,24,613,661,449,371
131,766,657,533,449,447
132,2,851,663,369,483
133,2,791,517,463,473
134,4,583,569,401,539
135,680,479,531,653,489
136,724,713,511,335,429
137,2,619,525,539,379
138,684,789,543,479,495
139,2,963,343,369,491
140,8,683,521,725,449
141,2,667,591,319,405
142,2,1013,465,519,541
143,614,809,647,795,333
144,2,593,511,445,401
145,4,665,531,389,347
146,2,649,643,511,417
147,2,721,787,473,439
148,864,1069,517,375,497
149,10,1015,713,577,705
150,760,877,529,373,281
151,2,661,631,551,503
152,2,571,451,389,309
153,4,561,687,425,443
154,792,899,537,583,307
155,806,731,667,605,579
156,2,751,605,343,407
157,6,811,571,521,389
158,860,569,509,337,471
159,870,871,593,485,403
160,2,805,859,629,329
161,900,803,551,681,377
162,2,573,535,397,347
163,6,31,685,689,487
164,2,733,803,549,323
165,914,743,787,513,241
166,654,645,569,459,611
167,4,733,629,407,479
168,798,731,777,491,683
169,644,569,769,527,309
170,1050,803,611,459,463
171,2,709,443,701,679
172,6,921,591,611,589
173,6,591,475,487,333
174,854,631,615,517,401
175,768,475,515,463,479
176,648,777,491,447,505
177,822,859,443,363,347
178,6,617,497,609,363
